"unique_id","range","setpoint","yvar","count","day","week","exclude","range_start","range_end","modal_bp","modal_rpt","modal_y","ii_threshold_abs","mean_rpt","sd_rpt","setpoint_rpt","ii","expi","contri","total_techreps"
"20231106_00103","range2","control","area",9,105,15,NA,115,160,522.637777777778,137.545925925926,3718.88888888889,1487.55555555556,136.491550752194,3.49895682378239,134.581771774573,1.90977897762087,3.68170595104906,-2.42249292694647,9
"20231106_00103","range2","control","height",9,105,15,NA,115,160,521.681111111111,137.227037037037,320.888888888889,128.355555555556,136.648578425141,3.50235677456359,134.581771774573,2.06680665056797,3.78995824989198,-2.29192970676241,9
"20231106_00103","range2","self","area",9,105,15,NA,115,160,522.637777777778,137.545925925926,3718.88888888889,1487.55555555556,136.491550752194,3.49895682378239,137.545925925926,-1.05437517373192,2.67132004541316,-3.72239491267827,9
"20231106_00103","range2","self","height",9,105,15,NA,115,160,521.681111111111,137.227037037037,320.888888888889,128.355555555556,136.648578425141,3.50235677456359,137.227037037037,-0.578458611895939,2.93634172117057,-3.50607730998859,9
"20231106_00104","range1",NA,"area",6,0,0,NA,0,36,150.625,13.5416666666667,210323.333333333,84129.3333333333,13.0162806986148,1.51611397430676,NA,NA,NA,NA,6
"20231106_00104","range1",NA,"height",6,0,0,NA,0,36,151.046666666667,13.6822222222222,20567.6666666667,8227.06666666667,13.4031419880692,0.559085037120454,NA,NA,NA,NA,6
"20231106_00104","range2","control","area",6,0,0,NA,115,160,516.181666666667,135.393888888889,8400.33333333333,3360.13333333333,134.801207976649,3.26393379792272,134.581771774573,0.219436202075752,2.59612890306578,-2.89288155147415,6
"20231106_00104","range2","control","height",6,0,0,NA,115,160,515.153333333333,135.051111111111,727.666666666667,291.066666666667,134.817552467878,3.26755614648426,134.581771774573,0.235780693304745,2.62432328387392,-2.87243988705384,6
"20231106_00104","range2","self","area",6,0,0,NA,115,160,516.181666666667,135.393888888889,8400.33333333333,3360.13333333333,134.801207976649,3.26393379792272,135.393888888889,-0.592680912240006,2.68245611011908,-3.32674552252408,6
"20231106_00104","range2","self","height",6,0,0,NA,115,160,515.153333333333,135.051111111111,727.666666666667,291.066666666667,134.817552467878,3.26755614648426,135.051111111111,-0.23355864323324,2.87386078254261,-3.15730528382691,6
"20231106_00105","range1",NA,"area",6,21,3,NA,0,36,151.54,13.8466666666667,246595,98638,12.4138178187905,2.33611654425526,NA,NA,NA,NA,6
"20231106_00105","range1",NA,"height",6,21,3,NA,0,36,151.54,13.8466666666667,24869.5,9947.8,12.7013892790655,2.06992931487212,NA,NA,NA,NA,6
"20231106_00105","range2","control","area",6,21,3,NA,115,160,516.465,135.488333333333,6386.16666666667,2554.46666666667,135.386461964036,3.23656887181325,134.581771774573,0.804690189463278,2.84942624307016,-2.60169272372693,6
"20231106_00105","range2","control","height",6,21,3,NA,115,160,515.496666666667,135.165555555556,562.833333333333,225.133333333333,135.343426294605,3.25795323743267,134.581771774573,0.761654520031836,2.86568696332313,-2.62657068920401,6
"20231106_00105","range2","self","area",6,21,3,NA,115,160,516.465,135.488333333333,6386.16666666667,2554.46666666667,135.386461964036,3.23656887181325,135.488333333333,-0.10187136929692,2.95208519833623,-3.02883999231958,6
"20231106_00105","range2","self","height",6,21,3,NA,115,160,515.496666666667,135.165555555556,562.833333333333,225.133333333333,135.343426294605,3.25795323743267,135.165555555556,0.177870739049416,3.10204689228041,-2.93986344543276,6
"20231106_00106","range1",NA,"area",6,21,3,NA,0,36,151.568333333333,13.8561111111111,209599.5,83839.8,13.714776710568,0.218337328972296,NA,NA,NA,NA,6
"20231106_00106","range1",NA,"height",6,21,3,NA,0,36,151.141666666667,13.7138888888889,23374.1666666667,9349.66666666667,13.6469974691738,0.236757070290551,NA,NA,NA,NA,6
"20231106_00106","range2","control","area",6,21,3,NA,115,160,516.835,135.611666666667,4762.66666666667,1905.06666666667,135.292522612127,3.19489341091873,134.581771774573,0.710750837553863,2.80853397730121,-2.58965052428667,6
"20231106_00106","range2","control","height",6,21,3,NA,115,160,517.308333333333,135.769444444444,421.833333333333,168.733333333333,135.252894192481,3.15424927977948,134.581771774573,0.671122417907467,2.77195423594935,-2.56703613864734,6
"20231106_00106","range2","self","area",6,21,3,NA,115,160,516.835,135.611666666667,4762.66666666667,1905.06666666667,135.292522612127,3.19489341091873,135.611666666667,-0.319144054539674,2.76332331022145,-3.1306237575331,6
